mediaID;artist;album;tracknumber;title
BEATLES_CD06RUB_T13;Beatles, The;Rubber Soul;13;If I Needed Someone
BEATLES_CD06RUB_T14;Beatles, The;Rubber Soul;14;Run for Your Life
BEATLES_CD07REV_T01;Beatles, The;Revolver;1;Taxman
BEATLES_CD07REV_T02;Beatles, The;Revolver;2;Eleanor Rigby
BEATLES_CD07REV_T03;Beatles, The;Revolver;3;I'm Only Sleeping
BEATLES_CD07REV_T04;Beatles, The;Revolver;4;Love You To
BEATLES_CD07REV_T05;Beatles, The;Revolver;5;Here, There and Everywhere
BEATLES_CD07REV_T06;Beatles, The;Revolver;6;Yellow Submarine
BEATLES_CD07REV_T07;Beatles, The;Revolver;7;She Said She Said
BEATLES_CD07REV_T08;Beatles, The;Revolver;8;Good Day Sunshine
BEATLES_CD07REV_T09;Beatles, The;Revolver;9;And Your Bird Can Sing
BEATLES_CD07REV_T10;Beatles, The;Revolver;10;For No One
BEATLES_CD07REV_T11;Beatles, The;Revolver;11;Doctor Robert
BEATLES_CD07REV_T12;Beatles, The;Revolver;12;I Want To Tell You
BEATLES_CD07REV_T13;Beatles, The;Revolver;13;Got To Get You Into My Life
BEATLES_CD07REV_T14;Beatles, The;Revolver;14;Tomorrow Never Knows
BEATLES_CD08SERPEP_T01;Beatles, The;Sergent Pepper's Lonely Hears Club Band;1;Sergent Pepper's Lonely Hearts Club Band
BEATLES_CD08SERPEP_T02;Beatles, The;Sergent Pepper's Lonely Hears Club Band;2;With A Little Help From My Friends
BEATLES_CD08SERPEP_T03;Beatles, The;Sergent Pepper's Lonely Hears Club Band;3;Lucy In The Sky With Diamonds
BEATLES_CD08SERPEP_T04;Beatles, The;Sergent Pepper's Lonely Hears Club Band;4;Getting Better
BEATLES_CD08SERPEP_T05;Beatles, The;Sergent Pepper's Lonely Hears Club Band;5;Fixing a Hole
BEATLES_CD08SERPEP_T06;Beatles, The;Sergent Pepper's Lonely Hears Club Band;6;She's Leaving Home
BEATLES_CD08SERPEP_T07;Beatles, The;Sergent Pepper's Lonely Hears Club Band;7;Being for the Benefit of Mr. Kite!
BEATLES_CD08SERPEP_T08;Beatles, The;Sergent Pepper's Lonely Hears Club Band;8;Within You Without You
BEATLES_CD08SERPEP_T09;Beatles, The;Sergent Pepper's Lonely Hears Club Band;9;When I'm Sixty-Four
BEATLES_CD08SERPEP_T10;Beatles, The;Sergent Pepper's Lonely Hears Club Band;10;Lovely Rita
BEATLES_CD08SERPEP_T11;Beatles, The;Sergent Pepper's Lonely Hears Club Band;11;Good Morning Good Morning
BEATLES_CD08SERPEP_T12;Beatles, The;Sergent Pepper's Lonely Hears Club Band;12;Sergent Pepper's Lonely Hearts Club Band (Reprise)
BEATLES_CD08SERPEP_T13;Beatles, The;Sergent Pepper's Lonely Hears Club Band;13;A Day In The Life
BEATLES_CD09MAGMYS_T01;Beatles, The;Magical Mistery Tour;1;Magical Mystery Tour
